"treeID","Height_m","Point_Count","Crown_Area_m2","Crown_Diameter_m","X","Y"
2071,27.499,41981,58.0726134672295,8.59885736203342,476775.953082667,5429000.26960779
2072,29.719,48147,64.039794938406,9.02983938685009,476795.357066664,5429000.32186074
2073,31.14825,2506,25.0715967493015,5.64996888760144,476907.489163542,5428999.84614587
2074,28.09175,342,20.5668318122625,5.11727501442807,476911.858362289,5429000.74738822
2075,10.9335,434,27.3758478123927,5.90389803480633,476939.687208888,5428998.31792775
2077,45.07,50435,58.3470145952888,8.61914881528109,476826.985978519,5428999.71572305
2078,26.6685,16999,59.914594597416,8.73416459360629,476856.406732645,5429000.29244665
2079,24.947,2935,31.4411156217102,6.32709030598994,476871.534031393,5428999.97227623
2080,6.48675,276,30.6576112192124,6.24775823407225,476946.011618686,5428999.73357888
2081,31.5745,44139,62.8689860019949,8.94691450250539,476753.686276807,5428998.81799614
2082,10.148,2368,24.9274948105449,5.63370856043923,476736.882296741,5428999.72942392
2083,33.244,45809,72.5007889990229,9.60785468135608,476815.488129822,5428998.79858579
2084,23.874,5275,47.2136577492347,7.75334096360513,476863.01313349,5428998.17166869
2085,25.03625,1795,32.2931504372973,6.41224735649277,476902.516560333,5428999.63728588
2087,29.80475,41888,57.0063872794854,8.51955319173067,476801.083658695,5428998.36931781
2088,24.4105,1725,23.1364019059693,5.42753920571432,476876.566421089,5428998.47881903
2089,14.178,7169,52.3193136875052,8.16180244433393,476703.021002561,5428997.41870055
2090,29.69475,42790,61.3125160955824,8.83546943179063,476761.077992729,5428997.59166796
2092,26.68225,2918,33.6319373442093,6.54381483484233,476685.405802306,5428997.66197184
2093,19.65925,10798,38.8675454692275,7.03474917095218,476721.680794276,5428998.09207526
2094,8.90425,3265,35.229187689416,6.69740210044623,476736.570968275,5428996.02417608
2095,41.5,38905,52.0333397481008,8.1394659414437,476824.759498548,5428996.4623124
2096,30.51575,290,13.224897375796,4.10346954587551,476912.296949887,5428997.3952288
2097,11.5795,738,30.0204044037964,6.18248866039035,476959.086738152,5428997.48185859
2099,12.8775,5815,32.5591056261328,6.4385977374271,476712.710686253,5428997.22681103
2100,8.12525,802,55.3480756271165,8.39472206886191,476925.868958953,5428997.49460391
2102,27.8485,2076,27.3445921555976,5.90052676183761,476674.81982363,5428996.44090966
2103,11.865,3023,26.2790406236891,5.78441991212453,476693.503792483,5428994.91009907
2104,22.96775,6837,22.7129137510783,5.37763702419864,476725.96524935,5428996.17318344
2105,24.9715,5021,51.0214998732554,8.05993742347475,476888.368983277,5428997.69250725
2106,24.08725,1105,20.6878274669871,5.13230552730702,476899.725931672,5428995.31020692
2107,8.3485,248,22.5352683124365,5.3565655756848,476659.48462514,5428996.03294311
2108,28.4525,1788,37.2356895622797,6.88548853939769,476668.974803223,5428994.79037277
2109,28.8315,2885,34.8463395604631,6.66091116272023,476680.141340278,5428995.26363611
2110,12.6435,2243,34.6404442496132,6.64120346517115,476688.599570707,5428994.74731194
2111,29.6705,47040,57.1566873766715,8.53077690565421,476777.323637352,5428996.20101183
2112,28.471,27670,52.2496462506242,8.15636658106525,476809.133188838,5428995.21688506
2113,43.90425,63615,82.1287102244096,10.2259239981438,476848.068584982,5428996.08848873
2114,11.6595,346,7.8874727487273,3.16901281343269,476935.386587294,5428996.06676302
2115,18.3835,4028,43.6763949363958,7.45724568486849,476717.939725452,5428994.94186196
2116,23.7995,1598,23.3940769082983,5.45767934494333,476872.491302883,5428995.87598356
2117,19.45225,1727,44.8347259375732,7.55548450075053,476883.734301696,5428996.56616138
2119,14.97425,1807,36.1453223444987,6.7839261321314,476905.054155108,5428994.17274179
2121,53.201,81245,77.3366007847362,9.92310527881885,476786.233820353,5428994.52102981
2124,26.51525,2250,18.3130975642707,4.82876381752335,476873.383109606,5428993.0010494
2125,8.0165,304,14.6828367817798,4.32374472181857,476977.499875479,5428993.8848607
2126,30.11025,55345,74.9807024088223,9.77079297697641,476767.806278355,5428992.86783581
2127,28.0595,6530,31.7458404341305,6.35767720331785,476860.433308959,5428994.01361001
2128,27.953,330,13.3869124696357,4.12852835018102,476948.223700886,5428993.10237091
2130,12.7715,3571,37.7669696261692,6.93443575302637,476711.683940847,5428992.31722842
2131,23.57875,4433,16.867178374494,4.63421606256198,476728.229924545,5428993.57056904
2132,26.332,1103,41.4867242206819,7.26791151977611,476891.782741733,5428993.04502037
2133,26.07875,686,18.2631740333745,4.82217745335785,476919.841526257,5428992.03387946
2135,19.51675,4742,18.5620275631081,4.86147174462768,476732.242296187,5428992.76822074
2136,7.862,5096,61.6941812199075,8.86292678573188,476742.637733445,5428992.79518061
2137,42.187,60758,85.9571719993837,10.461552014076,476835.840707356,5428992.43836123
2138,25.617,2228,25.9816667818232,5.75159852430168,476877.595996247,5428992.56003748
2139,27.7535,728,13.756039655651,4.18506077238072,476914.964531709,5428992.40409267
2140,11.79425,1086,28.5825867524836,6.03261798426567,476936.136997586,5428992.68163882
2141,29.8845,38790,54.4435709686004,8.32584575366475,476754.93627254,5428992.24076781
2142,30.19875,41045,52.1904183758888,8.15174242309302,476780.545137497,5428990.84480923
2143,32.7045,40520,54.7454292818438,8.34889486430066,476819.895727168,5428991.57545512
2144,29.37775,10612,43.3789426863659,7.43180901511074,476855.699438042,5428991.25558344
2145,26.28075,1246,34.4722670593765,6.62506253681197,476663.924148659,5428990.93601773
2146,30.5975,7341,45.137602592411,7.58096171835725,476675.508460538,5428990.68945497
2147,22.91675,591,29.0255675330991,6.07918583294859,476881.555680918,5428991.24222173
2148,20.30775,1210,12.3958299994847,3.97276489930607,476728.3933396,5428990.6040998
2149,7.8655,2300,30.4767920911545,6.22930629260833,476740.232216386,5428989.48324431
2150,26.4565,2411,31.8987622824498,6.37297148637286,476901.435082863,5428990.70766782
2153,15.094,10719,53.6245505619445,8.26298362240407,476702.752791966,5428991.03051647
2154,35.89525,28273,42.8065802800702,7.3826167980917,476825.210572679,5428990.16261421
2155,26.65025,5687,36.1045381893055,6.78009776972461,476869.277510567,5428991.27903985
2156,26.80675,3750,33.3996975604678,6.52118207966793,476912.335183694,5428988.92808727
2158,31.157,69491,59.8503820335027,8.72948298426445,476792.784585252,5428989.70886173
2159,31.43625,63575,64.9058695943095,9.09069413482262,476799.503925072,5428989.85848131
2160,30.9445,8682,37.2974656883162,6.89119788083081,476862.894261242,5428990.49864157
2162,29.93675,23028,39.0062289690541,7.04728835896431,476749.725355424,5428990.04688259
2163,42.664,30942,73.9910246550644,9.70609594771772,476844.318175923,5428989.16752265
2164,15.5205,2184,11.3298217816628,3.79810177947022,476731.980227988,5428988.58579199
